#BLTrackFile solenoid_cooling_channel
#x y z Px Py Pz t PDGid EvNum TrkId Parent weight
-5.455090 -7.138310 0 0.000000 0.000000 203.000000 1037.230000 -13 1 1 0 1.000000
-9.832780 -18.763100 0 -7.103650 16.858100 203.863000 1037.230000 -13 2 1 0 1.000000
-8.178740 -10.651600 0 8.157660 -24.080900 208.366000 1037.390000 -13 3 1 0 1.000000
-12.706100 -11.877100 0 -5.414710 18.034100 204.149000 1037.190000 -13 4 1 0 1.000000
-11.106900 -9.328220 0 5.270350 -9.469780 192.670000 1037.480000 -13 5 1 0 1.000000
-16.919400 -19.653900 0 -13.427000 -4.369620 206.742000 1037.210000 -13 6 1 0 1.000000
1.670100 -3.777400 0 -10.858100 -2.939630 214.265000 1037.260000 -13 7 1 0 1.000000
-4.817610 -5.296540 0 -5.551400 2.912650 202.479000 1037.090000 -13 8 1 0 1.000000
-21.418100 -0.684006 0 9.260990 15.434600 228.770000 1037.250000 -13 9 1 0 1.000000
-10.915800 -10.828900 0 -8.747810 7.413730 190.495000 1037.220000 -13 10 1 0 1.000000
-12.069400 -1.731280 0 12.373800 -4.846080 207.158000 1037.330000 -13 11 1 0 1.000000
-9.110040 1.169590 0 -1.624430 -2.100970 207.495000 1037.320000 -13 12 1 0 1.000000
-11.905100 -0.996109 0 -8.016310 10.328200 219.318000 1037.420000 -13 13 1 0 1.000000
-0.871486 -9.806310 0 0.765493 -1.283130 201.964000 1037.260000 -13 14 1 0 1.000000
-14.524400 -4.783900 0 14.557700 -7.738030 214.830000 1037.180000 -13 15 1 0 1.000000
-12.215400 0.574952 0 6.658280 5.180280 198.321000 1037.260000 -13 16 1 0 1.000000
-16.754200 6.562600 0 2.355100 -24.121300 194.891000 1037.190000 -13 17 1 0 1.000000
7.713680 -2.814460 0 -3.968490 -5.668830 186.578000 1037.250000 -13 18 1 0 1.000000
3.732960 -6.433010 0 -5.252880 -16.638600 200.773000 1037.300000 -13 19 1 0 1.000000
-3.779200 -0.127896 0 -6.209180 1.667900 209.505000 1037.210000 -13 20 1 0 1.000000
-3.142260 -9.434450 0 -0.591409 2.329070 217.665000 1037.280000 -13 21 1 0 1.000000
-25.045800 -2.096090 0 37.210700 -16.456100 217.178000 1037.630000 -13 22 1 0 1.000000
-8.729760 -14.549000 0 0.033731 4.399340 207.815000 1037.280000 -13 23 1 0 1.000000
-20.628200 -23.715100 0 -2.828770 7.016660 201.562000 1037.500000 -13 24 1 0 1.000000
-5.059760 -7.826480 0 17.562000 4.787750 210.538000 1037.510000 -13 25 1 0 1.000000
0.480776 2.418860 0 -7.981190 -7.213960 201.407000 1037.440000 -13 26 1 0 1.000000
4.198730 -21.548600 0 12.126900 -4.458130 191.896000 1037.260000 -13 27 1 0 1.000000
-0.143156 -15.169700 0 -28.726400 -18.901100 206.888000 1037.430000 -13 28 1 0 1.000000
5.733910 -21.167800 0 5.641160 -17.545400 213.129000 1037.070000 -13 29 1 0 1.000000
-7.506400 -5.746700 0 9.936270 -3.671130 207.464000 1037.290000 -13 30 1 0 1.000000
2.691060 -18.721400 0 -4.715700 16.864100 209.005000 1037.470000 -13 31 1 0 1.000000
-34.160900 5.396080 0 3.391960 -1.651400 229.340000 1037.460000 -13 32 1 0 1.000000
-0.531165 -11.453800 0 1.160740 -7.409020 203.110000 1037.370000 -13 33 1 0 1.000000
-5.530100 -8.701960 0 5.910700 -11.295200 194.216000 1037.180000 -13 34 1 0 1.000000
9.502000 -16.981000 0 -6.675510 11.711100 209.197000 1037.020000 -13 35 1 0 1.000000
-20.473000 -8.062670 0 4.566570 16.483900 205.651000 1037.230000 -13 36 1 0 1.000000
-21.944000 -14.264500 0 20.043200 12.686500 228.072000 1037.290000 -13 37 1 0 1.000000
-4.228420 6.631780 0 2.029650 -6.422460 226.618000 1037.470000 -13 38 1 0 1.000000
-1.800180 -7.003660 0 -8.882410 -15.852900 209.884000 1037.280000 -13 39 1 0 1.000000
-3.900060 -3.572960 0 7.426680 4.406190 204.371000 1037.460000 -13 40 1 0 1.000000
-0.322594 0.388744 0 -7.817180 3.373300 219.751000 1037.190000 -13 41 1 0 1.000000
-2.236620 -6.471040 0 -9.048370 10.957000 205.464000 1037.190000 -13 42 1 0 1.000000
-12.027600 -7.310420 0 13.655500 5.361440 206.689000 1037.160000 -13 43 1 0 1.000000
-18.116300 1.443900 0 4.110540 -1.275850 212.833000 1037.040000 -13 44 1 0 1.000000
-4.363900 -3.938970 0 -5.907020 1.376830 196.468000 1037.130000 -13 45 1 0 1.000000
-17.835400 -6.864460 0 -23.172400 -26.390100 219.985000 1037.210000 -13 46 1 0 1.000000
1.070830 -0.178469 0 3.015250 17.098900 193.375000 1037.170000 -13 47 1 0 1.000000
2.799310 -3.564470 0 -12.096800 20.967900 218.040000 1037.380000 -13 48 1 0 1.000000
-20.196500 -11.480800 0 -3.785120 -3.799310 207.987000 1037.410000 -13 49 1 0 1.000000
-5.959410 -3.498870 0 -9.365480 -15.864300 214.885000 1037.300000 -13 50 1 0 1.000000
6.955850 -13.118900 0 -15.640300 6.396310 201.598000 1037.220000 -13 51 1 0 1.000000
-8.927720 -9.797680 0 -25.766300 5.952630 197.416000 1037.120000 -13 52 1 0 1.000000
-3.924260 -21.774600 0 -25.168800 -0.737310 189.725000 1037.190000 -13 53 1 0 1.000000
3.608700 -22.595900 0 -16.896800 -13.592600 203.357000 1037.460000 -13 54 1 0 1.000000
-12.135400 -6.886580 0 -7.471700 16.735100 209.981000 1037.180000 -13 55 1 0 1.000000
-11.333300 -11.157900 0 -20.191300 -0.438265 211.454000 1037.090000 -13 56 1 0 1.000000
-9.930580 -5.044640 0 12.662600 -17.222300 211.491000 1037.200000 -13 57 1 0 1.000000
-18.527800 2.259540 0 -15.159200 13.933000 213.740000 1037.130000 -13 58 1 0 1.000000
-8.887400 15.576800 0 4.886420 -4.507160 222.176000 1037.200000 -13 59 1 0 1.000000
-4.451750 -4.019120 0 5.722840 0.667109 209.611000 1037.190000 -13 60 1 0 1.000000
4.461290 -11.184500 0 4.030850 -2.932720 203.657000 1037.240000 -13 61 1 0 1.000000
-5.694510 -18.763200 0 -8.965690 11.695800 203.395000 1037.230000 -13 62 1 0 1.000000
-10.969600 -6.064010 0 -12.448900 -11.992600 213.047000 1037.150000 -13 63 1 0 1.000000
-13.166500 -13.444600 0 5.772880 -5.428920 219.029000 1037.180000 -13 64 1 0 1.000000
-4.815060 3.037480 0 12.878900 24.434600 208.667000 1036.950000 -13 65 1 0 1.000000
1.024750 -18.475700 0 12.511200 -16.409700 199.406000 1037.190000 -13 66 1 0 1.000000
-7.504050 -9.405940 0 -22.328900 0.820419 187.839000 1037.310000 -13 67 1 0 1.000000
-9.494120 -12.785600 0 3.036960 -4.351300 217.475000 1037.380000 -13 68 1 0 1.000000
3.533960 -7.879480 0 17.678200 -3.953980 205.444000 1037.490000 -13 69 1 0 1.000000
-12.934000 -3.942240 0 -0.600722 -7.293010 210.915000 1037.190000 -13 70 1 0 1.000000
-7.314910 -9.801580 0 2.052720 4.171750 203.079000 1037.110000 -13 71 1 0 1.000000
-12.479400 3.737510 0 -6.856630 -2.284560 215.654000 1037.220000 -13 72 1 0 1.000000
-1.175790 -0.219311 0 -4.086100 -14.107300 204.211000 1037.110000 -13 73 1 0 1.000000
-13.122700 -10.960500 0 17.444700 -4.707690 208.864000 1037.200000 -13 74 1 0 1.000000
-21.689900 -0.358482 0 -14.109200 -5.531910 212.891000 1037.290000 -13 75 1 0 1.000000
-15.207500 -2.723990 0 23.474800 -25.703900 213.272000 1037.210000 -13 76 1 0 1.000000
-17.705300 17.541200 0 9.019990 -9.069360 226.024000 1037.190000 -13 77 1 0 1.000000
-3.381360 -2.224420 0 -15.006500 -0.419008 203.815000 1037.060000 -13 78 1 0 1.000000
1.246400 -1.008060 0 -15.951300 -0.889464 207.727000 1037.350000 -13 79 1 0 1.000000
-3.115840 -0.986242 0 -8.686630 8.423480 204.399000 1037.220000 -13 80 1 0 1.000000
1.376310 -3.989870 0 -6.792280 10.732100 207.794000 1037.300000 -13 81 1 0 1.000000
-18.458900 -14.312500 0 12.828600 11.120000 210.089000 1037.020000 -13 82 1 0 1.000000
-17.244100 0.956459 0 11.399500 8.675740 218.576000 1037.000000 -13 83 1 0 1.000000
0.393800 -12.631300 0 7.979330 -2.237770 204.166000 1037.210000 -13 84 1 0 1.000000
-5.052140 -4.437880 0 1.400850 -18.343500 201.009000 1037.200000 -13 85 1 0 1.000000
-8.756010 -13.149900 0 11.726000 2.475860 200.624000 1037.190000 -13 86 1 0 1.000000
15.248600 -6.576590 0 7.233740 -25.890100 223.972000 1037.130000 -13 87 1 0 1.000000
8.729450 -11.482800 0 -19.704500 10.501000 206.722000 1037.250000 -13 88 1 0 1.000000
-19.073000 -1.310310 0 12.726900 4.573850 196.533000 1037.280000 -13 89 1 0 1.000000
-7.999640 -0.720464 0 5.264990 -11.432000 217.207000 1037.400000 -13 90 1 0 1.000000
-3.703920 -1.597830 0 9.873350 15.891000 207.821000 1037.300000 -13 91 1 0 1.000000
