#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
6.17947 -13.4669 68210 16.6404 2.30098 232.851 256.154 -13 2 1 0 1
6.52964 9.63022 68210 24.593 36.3484 226.334 256.601 -13 3 1 0 1
12.2707 -35.4445 68210 4.91147 -38.5332 189.421 256.389 -13 4 1 0 1
-3.99015 -1.67952 68210 4.34816 23.9502 232.863 256.384 -13 5 1 0 1
11.4364 29.7128 68210 -49.4533 -28.5255 216.072 256.662 -13 6 1 0 1
7.57146 -21.3711 68210 15.8462 10.3633 232.018 256.605 -13 7 1 0 1
2.10472 15.903 68210 -13.47 6.20984 180.099 256.314 -13 8 1 0 1
18.1227 -20.679 68210 10.8148 14.6586 236.511 256.377 -13 9 1 0 1
-1.00106 -2.70917 68210 18.3025 -2.40803 235.378 256.124 -13 10 1 0 1
14.3429 -27.4417 68210 -12.9931 4.53435 221.035 256.332 -13 11 1 0 1
6.84256 2.25197 68210 -11.6171 24.1487 216.602 256.284 -13 12 1 0 1
0.728634 13.5801 68210 -35.1521 6.50666 191.051 256.525 -13 14 1 0 1
25.3673 -26.4746 68210 17.2828 -15.491 207.003 256.111 -13 15 1 0 1
4.10805 10.2448 68210 -13.6648 24.0627 208.139 256.222 -13 16 1 0 1
56.1095 -8.90941 68210 29.6098 24.6251 201.341 256.437 -13 17 1 0 1
14.5061 25.9918 68210 -8.53222 26.7486 214.385 256.229 -13 18 1 0 1
-15.8351 16.0545 68210 -16.2416 7.16053 217.438 256.296 -13 19 1 0 1
-15.919 18.0056 68210 -17.6568 18.2473 225.622 256.339 -13 20 1 0 1
8.50239 -0.772512 68210 0.448791 3.8943 216.671 255.953 -13 21 1 0 1
2.25904 -3.5289 68210 19.8152 1.90428 234.408 256.15 -13 24 1 0 1
48.6611 -6.8881 68210 -24.3818 15.4685 249.328 256.271 -13 25 1 0 1
26.2596 -4.70115 68210 35.3614 11.208 233.478 256.14 -13 26 1 0 1
14.6797 19.7767 68210 6.69885 5.61892 233.806 256.019 -13 27 1 0 1
3.07738 -10.5989 68210 3.00079 -25.9827 232.122 256.759 -13 28 1 0 1
-9.78146 -5.68479 68210 -7.15604 -3.5714 246.903 256.18 -13 29 1 0 1
-9.90469 23.0465 68210 13.8106 -2.60827 236.459 256.025 -13 30 1 0 1
-1.03594 5.66805 68210 11.7515 15.7121 198.694 256.514 -13 31 1 0 1
4.67694 16.1657 68210 1.59191 -13.4513 224.85 256.508 -13 32 1 0 1
0.898022 11.3832 68210 26.9852 1.96237 206.395 256.791 -13 33 1 0 1
-10.785 -0.644883 68210 20.4782 -16.9219 213.978 256.527 -13 34 1 0 1
21.1196 7.79192 68210 17.314 28.87 219.082 256.499 -13 35 1 0 1
-3.99083 -9.07756 68210 13.3263 -24.8157 202.392 256.49 -13 36 1 0 1
-0.624198 -3.30384 68210 3.84664 -13.5214 212.616 256.537 -13 37 1 0 1
19.8752 8.1331 68210 30.5237 0.899556 209.152 256.669 -13 38 1 0 1
11.4441 24.0071 68210 11.3394 32.599 208.032 256.675 -13 39 1 0 1
6.5279 -2.98796 68210 -5.17303 2.50244 173.516 256.062 -13 40 1 0 1
25.4119 15.5296 68210 -3.01297 9.09323 229.155 256.793 -13 46 1 0 1
22.7178 20.1267 68210 -1.8806 7.46763 199.201 255.961 -13 50 1 0 1
39.4148 -12.2792 68210 11.2893 32.4434 228.849 256.086 -13 51 1 0 1
-18.4645 37.3655 68210 -29.9285 23.9245 187.178 256.209 -13 53 1 0 1
-18.5745 -1.57074 68210 -36.9333 17.1979 207.78 255.878 -13 54 1 0 1
27.3229 -40.2513 68210 0.619033 -2.8423 224.73 256.03 -13 55 1 0 1
3.34574 14.9427 68210 -11.4279 19.5064 195.617 256.096 -13 56 1 0 1
